Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,server/version/version_test.go,version_test.go,93,88,0,5,7,1695,42
Go,server/version/version.go,version.go,61,43,5,13,4,1439,41
Go,api/user_setting.go,user_setting.go,110,91,6,13,25,3493,77
Go,api/user.go,user.go,145,114,11,20,25,3451,92
Go,server/user.go,user.go,306,266,3,37,99,11058,145
Go,server/tag_test.go,tag_test.go,47,45,0,2,3,1166,31
Go,api/tag.go,tag.go,20,16,0,4,0,237,10
Go,server/tag.go,tag.go,178,155,0,23,40,5471,107
Go,api/system_setting.go,system_setting.go,139,112,14,13,30,4355,105
Go,server/system.go,system.go,243,218,2,23,99,8442,142
TypeScript Typings,web/src/types/modules/system.d.ts,system.d.ts,29,25,1,3,0,498,23
Go,api/shortcut.go,shortcut.go,53,31,9,13,0,937,26
Go,server/shortcut.go,shortcut.go,188,166,0,22,50,6761,86
Go,server/server.go,server.go,156,129,1,26,16,3834,114
Go,api/resource.go,resource.go,55,33,9,13,0,1021,29
Go,server/resource.go,resource.go,309,274,1,34,81,10970,141
Go,server/profile/profile.go,profile.go,74,52,9,13,15,1856,56
Go,api/memo_resource.go,memo_resource.go,24,20,0,4,0,346,15
Go,api/memo_organizer.go,memo_organizer.go,26,20,1,5,0,352,17
Go,server/memo.go,memo.go,593,519,2,72,195,20922,247
Go,api/memo.go,memo.go,94,59,16,19,1,1877,60
TypeScript,web/src/labs/marked/matcher.ts,matcher.ts,4,4,0,0,0,130,5
TypeScript,web/src/labs/marked/index.tsx,index.tsx,152,132,0,20,40,4382,102
Go,plugin/http_getter/image.go,image.go,45,38,0,7,10,706,28
Go,server/http_getter.go,http_getter.go,57,49,0,8,16,1953,36
TypeScript,web/src/store/module/global.ts,global.ts,78,71,1,6,7,2333,66
TypeScript,web/src/store/reducer/global.ts,global.ts,58,54,0,4,0,1276,45
YAML,.github/workflows/frontend-tests.yml,frontend-tests.yml,53,49,0,4,0,1213,27
Go,server/common.go,common.go,52,40,3,9,10,1033,37
YAML,.github/workflows/backend-tests.yml,backend-tests.yml,41,38,0,3,0,1096,30
Go,server/auth.go,auth.go,192,168,2,22,66,7197,112
Go,server/acl.go,acl.go,95,82,0,13,20,2410,61
TypeScript,web/src/components/UpdateCustomizedProfileDialog.tsx,UpdateCustomizedProfileDialog.tsx,150,136,0,14,2,4742,101
TypeScript,web/src/labs/marked/parser/UnorderedList.tsx,UnorderedList.tsx,26,22,0,4,1,616,22
TypeScript,web/src/labs/marked/parser/TodoList.tsx,TodoList.tsx,26,22,0,4,1,621,22
TypeScript,web/src/labs/marked/parser/Tag.tsx,Tag.tsx,18,14,0,4,1,342,14
TypeScript,web/src/labs/marked/parser/Strikethrough.tsx,Strikethrough.tsx,18,14,0,4,1,357,14
TypeScript,web/src/components/SearchBar.tsx,SearchBar.tsx,110,101,0,9,23,3554,92
TypeScript,web/src/components/Settings/PreferencesSection.tsx,PreferencesSection.tsx,115,105,0,10,2,4674,79
TypeScript,web/src/labs/marked/parser/PlainText.tsx,PlainText.tsx,18,14,0,4,1,335,14
TypeScript,web/src/labs/marked/parser/PlainLink.tsx,PlainLink.tsx,22,18,0,4,1,444,18
TypeScript,web/src/labs/marked/parser/Paragraph.tsx,Paragraph.tsx,15,12,0,3,0,341,12
TypeScript,web/src/labs/marked/parser/OrderedList.tsx,OrderedList.tsx,26,22,0,4,1,621,22
TypeScript,web/src/components/MemoList.tsx,MemoList.tsx,166,154,0,12,51,5569,137
TypeScript,web/src/components/MemoContent.tsx,MemoContent.tsx,113,99,0,14,30,3339,90
TypeScript,web/src/components/Memo.tsx,Memo.tsx,243,218,1,24,57,8235,185
TypeScript,web/src/components/LocaleSelect.tsx,LocaleSelect.tsx,40,35,0,5,1,1182,36
TypeScript,web/src/labs/marked/parser/Link.tsx,Link.tsx,28,25,0,3,1,736,25
SQL,store/db/migration/prod/LATEST__SCHEMA.sql,LATEST__SCHEMA.sql,105,84,11,10,0,3175,60
TypeScript,web/src/labs/marked/parser/InlineCode.tsx,InlineCode.tsx,18,14,0,4,1,349,14
TypeScript,web/src/labs/marked/parser/Image.tsx,Image.tsx,20,16,0,4,1,452,16
TypeScript,web/src/labs/marked/parser/HorizontalRules.tsx,HorizontalRules.tsx,12,9,1,2,0,280,10
TypeScript,web/src/labs/marked/parser/Heading.tsx,Heading.tsx,28,24,0,4,12,636,23
TypeScript,web/src/labs/marked/parser/Emphasis.tsx,Emphasis.tsx,22,18,0,4,1,498,18
TypeScript,web/src/components/EmbedMemoDialog.tsx,EmbedMemoDialog.tsx,60,53,0,7,0,1863,50
TypeScript,web/src/labs/marked/parser/DoneList.tsx,DoneList.tsx,28,24,0,4,1,643,24
TypeScript,web/src/components/CreateTagDialog.tsx,CreateTagDialog.tsx,161,145,0,16,13,5404,131
TypeScript,web/src/labs/marked/parser/CodeBlock.tsx,CodeBlock.tsx,48,40,1,7,2,1194,40
TypeScript,web/src/labs/marked/parser/Br.tsx,Br.tsx,16,14,0,2,1,302,14
TypeScript,web/src/labs/marked/parser/BoldEmphasis.tsx,BoldEmphasis.tsx,26,22,0,4,1,565,22
TypeScript,web/src/labs/marked/parser/Bold.tsx,Bold.tsx,22,18,0,4,1,501,18
TypeScript,web/src/labs/marked/parser/Blockquote.tsx,Blockquote.tsx,18,14,0,4,1,368,14
TypeScript,web/src/pages/Auth.tsx,Auth.tsx,182,165,0,17,34,6770,120
TypeScript,web/src/components/AppearanceSelect.tsx,AppearanceSelect.tsx,53,46,0,7,8,1421,46
SQL,store/db/migration/prod/0.10/00__activity.sql,00__activity.sql,9,8,1,0,0,323,10
