Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Vim Script,runtime/autoload/zip.vim,zip.vim,479,298,131,50,50,15335,294
Vim Script,runtime/ftplugin/zig.vim,zig.vim,68,43,8,17,10,1665,48
Prolog,src/proto/window.pro,window.pro,96,94,2,0,0,3624,97
C,src/window.c,window.c,7810,5668,1402,740,1867,188889,4038
C,src/libvterm/src/vterm.c,vterm.c,454,357,20,77,52,11503,281
C,src/viminfo.c,viminfo.c,3331,2721,376,234,833,81685,2037
C,src/vim9expr.c,vim9expr.c,3663,2942,447,274,930,89523,1914
C,src/vim9execute.c,vim9execute.c,7581,5997,848,736,1501,196279,4053
C,src/vim9compile.c,vim9compile.c,4302,3296,612,394,1385,109925,2508
C,src/vim9cmds.c,vim9cmds.c,2745,1986,452,307,822,68363,1388
C,src/vim9class.c,vim9class.c,3293,2406,530,357,763,82121,1742
C Header,src/vim.h,vim.h,2963,2117,519,327,137,99238,2218
C,src/version.c,version.c,1369,1215,95,59,154,25660,834
Prolog,src/proto/userfunc.pro,userfunc.pro,97,95,2,0,0,5174,98
C,src/userfunc.c,userfunc.c,7122,5910,752,460,1529,177666,4029
C,src/usercmd.c,usercmd.c,1974,1809,104,61,139,43160,1153
C,src/undo.c,undo.c,3757,2733,669,355,962,94429,2112
C,src/typval.c,typval.c,2823,2279,375,169,786,64980,1278
C,src/textobject.c,textobject.c,2006,1462,398,146,697,47106,1064
C,src/textformat.c,textformat.c,1210,864,221,125,315,33174,805
C,src/testing.c,testing.c,1570,1285,119,166,462,37004,833
Vim Script,src/testdir/test_window_cmd.vim,test_window_cmd.vim,2025,1530,220,275,49,53241,1137
Vim Script,src/testdir/test_visual.vim,test_visual.vim,1625,1264,165,196,9,44802,956
Vim Script,src/testdir/test_virtualedit.vim,test_virtualedit.vim,696,553,69,74,1,18358,351
Vim Script,src/testdir/test_vimscript.vim,test_vimscript.vim,7534,6092,763,679,487,195560,2772
Vim Script,src/testdir/test_vim9_script.vim,test_vim9_script.vim,4930,4211,164,555,263,105619,2367
Vim Script,src/testdir/test_vim9_func.vim,test_vim9_func.vim,4672,3981,124,567,55,106745,2198
Vim Script,src/testdir/test_vim9_expr.vim,test_vim9_expr.vim,4160,3373,144,643,361,121643,2409
Vim Script,src/testdir/test_vim9_cmd.vim,test_vim9_cmd.vim,2059,1799,19,241,42,42363,1070
Vim Script,src/testdir/test_vim9_class.vim,test_vim9_class.vim,9689,7805,612,1272,47,220383,3103
Vim Script,src/testdir/test_vartabs.vim,test_vartabs.vim,458,353,46,59,2,13647,203
Vim Script,src/testdir/test_trycatch.vim,test_trycatch.vim,2381,1925,203,253,90,52693,1035
Vim Script,src/testdir/test_textobjects.vim,test_textobjects.vim,644,511,53,80,2,17288,404
Vim Script,src/testdir/test_textformat.vim,test_textformat.vim,1306,1126,56,124,2,28272,646
Vim Script,src/testdir/test_tagjump.vim,test_tagjump.vim,1548,1258,105,185,8,42951,821
Vim Script,src/testdir/test_tagfunc.vim,test_tagfunc.vim,416,330,33,53,2,11486,252
Vim Script,src/testdir/test_tabline.vim,test_tabline.vim,229,178,14,37,6,5432,138
Vim Script,src/testdir/test_swap.vim,test_swap.vim,576,431,65,80,11,16108,332
Vim Script,src/testdir/test_substitute.vim,test_substitute.vim,1501,1303,70,128,10,45773,916
Vim Script,src/testdir/test_statusline.vim,test_statusline.vim,634,470,74,90,3,18660,419
Vim Script,src/testdir/test_spellfile.vim,test_spellfile.vim,1156,759,193,204,15,39700,693
Vim Script,src/testdir/test_spell_utf8.vim,test_spell_utf8.vim,831,825,2,4,0,25941,536
Vim Script,src/testdir/test_spell.vim,test_spell.vim,1557,1304,92,161,11,49821,956
Vim Script,src/testdir/test_source.vim,test_source.vim,677,562,56,59,11,15181,408
Vim Script,src/testdir/test_search.vim,test_search.vim,2198,1718,220,260,16,65800,1134
Vim Script,src/testdir/test_scroll_opt.vim,test_scroll_opt.vim,963,765,66,132,6,29059,549
Vim Script,src/testdir/test_retab.vim,test_retab.vim,117,90,6,21,2,3988,88
Vim Script,src/testdir/test_restricted.vim,test_restricted.vim,120,92,11,17,19,4057,86
Vim Script,src/testdir/test_registers.vim,test_registers.vim,949,727,85,137,1,24681,642
Vim Script,src/testdir/test_regexp_utf8.vim,test_regexp_utf8.vim,579,476,52,51,54,21622,412
Vim Script,src/testdir/test_regexp_latin.vim,test_regexp_latin.vim,1163,905,154,104,45,45571,860
Vim Script,src/testdir/test_quickfix.vim,test_quickfix.vim,6499,5134,592,773,201,190441,3605
Vim Script,src/testdir/test_put.vim,test_put.vim,284,220,18,46,3,6632,164
Vim Script,src/testdir/test_paste.vim,test_paste.vim,338,268,24,46,8,9827,189
Vim Script,src/testdir/test_options.vim,test_options.vim,2229,1767,220,242,103,72643,1554
Vim Script,src/testdir/test_normal.vim,test_normal.vim,4184,3314,419,451,32,111373,2337
Vim Script,src/testdir/test_menu.vim,test_menu.vim,618,507,40,71,5,22960,485
Vim Script,src/testdir/test_matchfuzzy.vim,test_matchfuzzy.vim,283,201,52,30,2,16963,222
Vim Script,src/testdir/test_marks.vim,test_marks.vim,321,264,18,39,1,8135,220
Vim Script,src/testdir/test_mapping.vim,test_mapping.vim,1826,1419,166,241,16,50123,1202
Vim Script,src/testdir/test_lambda.vim,test_lambda.vim,384,312,9,63,6,8456,237
Vim Script,src/testdir/test_ins_complete.vim,test_ins_complete.vim,2362,1891,203,268,26,72035,1246
Vim Script,src/testdir/test_indent.vim,test_indent.vim,303,254,21,28,3,9113,219
Vim Script,src/testdir/test_history.vim,test_history.vim,265,206,22,37,11,8538,188
Vim Script,src/testdir/test_help.vim,test_help.vim,209,162,15,32,1,5428,145
Vim Script,src/testdir/test_gf.vim,test_gf.vim,356,294,24,38,6,9506,228
Vim Script,src/testdir/test_functions.vim,test_functions.vim,3770,2958,350,462,82,130490,2582
Vim Script,src/testdir/test_fold.vim,test_fold.vim,1781,1483,126,172,24,46713,951
Vim Script,src/testdir/test_expr.vim,test_expr.vim,1092,898,61,133,44,42892,801
Vim Script,src/testdir/test_excmd.vim,test_excmd.vim,732,595,62,75,16,23974,431
Vim Script,src/testdir/test_ex_mode.vim,test_ex_mode.vim,318,241,31,46,1,9872,220
Vim Script,src/testdir/test_eval_stuff.vim,test_eval_stuff.vim,706,548,36,122,10,26047,495
Vim Script,src/testdir/test_edit.vim,test_edit.vim,2126,1771,187,168,37,61985,1208
Vim Script,src/testdir/test_diffmode.vim,test_diffmode.vim,1716,1378,115,223,12,46084,904
Vim Script,src/testdir/test_crash.vim,test_crash.vim,207,155,16,36,0,5974,97
Vim Script,src/testdir/test_cmdwin.vim,test_cmdwin.vim,473,357,35,81,2,14325,307
Vim Script,src/testdir/test_cmdline.vim,test_cmdline.vim,3738,2828,374,536,36,127675,2481
Vim Script,src/testdir/test_cindent.vim,test_cindent.vim,5466,4796,52,618,383,68786,1513
Vim Script,src/testdir/test_buffer.vim,test_buffer.vim,517,394,57,66,4,13984,336
Vim Script,src/testdir/test_autocmd.vim,test_autocmd.vim,4318,3343,367,608,43,133446,2426
Vim Script,src/testdir/test_autochdir.vim,test_autochdir.vim,121,101,3,17,0,3145,71
Vim Script,src/testdir/test_assert.vim,test_assert.vim,508,404,16,88,0,16265,274
Vim Script,src/testdir/test_arglist.vim,test_arglist.vim,747,629,44,74,3,18620,452
C,src/terminal.c,terminal.c,7815,6375,734,706,1559,190281,4219
Vim Script,src/testdir/term_util.vim,term_util.vim,206,113,54,39,22,6395,138
C,src/term.c,term.c,7531,5395,1503,633,1752,192607,4335
C,src/tag.c,tag.c,4693,3460,805,428,1190,116985,2731
C Header,src/structs.h,structs.h,5020,3435,1057,528,31,165388,3533
Prolog,src/proto/strings.pro,strings.pro,52,50,2,0,0,2604,53
C,src/strings.c,strings.c,3886,3804,61,21,72,83971,1939
C,src/libvterm/src/state.c,state.c,2505,2085,60,360,368,66900,1304
Plain Text,runtime/doc/starting.txt,starting.txt,1709,1438,0,271,0,74540,1412
C,src/spellsuggest.c,spellsuggest.c,4527,3296,841,390,955,123482,2687
C,src/spellfile.c,spellfile.c,6712,4747,1329,636,1823,176580,3999
C,src/spell.c,spell.c,4512,3214,866,432,1292,108002,2565
C,src/search.c,search.c,5025,4095,661,269,1060,127068,2998
C,src/scriptfile.c,scriptfile.c,2779,2035,439,305,746,68362,1602
C,src/libvterm/src/screen.c,screen.c,1257,958,69,230,296,36756,746
Vim Script,runtime/ftplugin/ruby.vim,ruby.vim,456,372,41,43,66,17859,327
C,src/register.c,register.c,3054,2643,229,182,569,73626,1806
C,src/regexp_nfa.c,regexp_nfa.c,7650,6084,906,660,1333,191188,4358
C,src/regexp_bt.c,regexp_bt.c,5598,4479,750,369,1219,143884,3299
C,src/regexp.c,regexp.c,3069,2264,530,275,724,73621,1821
C,src/quickfix.c,quickfix.c,8713,6155,1561,997,2260,212734,4576
Vim Script,src/testdir/crash/poc_tagfunc.vim,poc_tagfunc.vim,6,6,0,0,0,63,7
Vim Script,runtime/ftplugin/perl.vim,perl.vim,112,67,30,15,12,3863,90
Prolog,src/proto/optionstr.pro,optionstr.pro,195,193,2,0,0,11198,196
C,src/optionstr.c,optionstr.c,4626,3425,710,491,1007,106975,2035
C Header,src/option.h,option.h,1326,1211,75,40,23,41305,1073
