Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,playground/fs-serve/root/vite.config-deny.js,vite.config-deny.js,22,15,6,1,0,441,19
TypeScript,packages/vite/src/node/server/middlewares/transform.ts,transform.ts,326,259,43,24,53,11420,231
TypeScript,packages/vite/src/node/server/middlewares/static.ts,static.ts,308,244,35,29,48,9019,216
JSON,playground/fs-serve/package.json,package.json,21,21,0,0,0,752,22
TypeScript,packages/vite/src/node/server/index.ts,index.ts,1258,743,430,85,162,37516,882
HTML,playground/fs-serve/root/src/index.html,index.html,285,256,0,29,0,7542,136
HTML,playground/assets-sanitize/index.html,index.html,40,35,0,5,0,984,29
TypeScript,playground/fs-serve/__tests__/fs-serve.spec.ts,fs-serve.spec.ts,331,287,2,42,29,9840,192
TypeScript,playground/fs-serve/__tests__/deny/fs-serve-deny.spec.ts,fs-serve-deny.spec.ts,17,5,11,1,0,554,13
TypeScript,playground/fs-serve/__tests__/base/fs-serve-base.spec.ts,fs-serve-base.spec.ts,114,91,3,20,13,4106,72
Plain Text,playground/fs-serve/root/src/deny/deny.txt,deny.txt,1,1,0,0,0,5,2
TypeScript,packages/vite/src/node/build.ts,build.ts,1603,1191,284,128,371,48035,1086
TypeScript,playground/assets-sanitize/__tests__/assets-sanitize.spec.ts,assets-sanitize.spec.ts,32,30,0,2,4,1513,30
