Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,go/mysql/collations/charset/unicode/utf32.go,utf32.go,71,44,15,12,4,1518,48
Go,go/mysql/collations/charset/unicode/utf16.go,utf16.go,207,152,18,37,27,3959,105
Go,go/vt/vtgate/evalengine/translate.go,translate.go,749,634,31,84,129,20699,467
Markdown,changelog/16.0/16.0.1/summary.md,summary.md,32,17,0,15,0,1960,18
Markdown,changelog/16.0/16.0.2/summary.md,summary.md,39,20,0,19,0,2309,21
Go,go/vt/topo/shard_test.go,shard_test.go,262,194,31,37,42,8676,154
Go,go/vt/topo/shard.go,shard.go,703,478,145,80,153,22314,443
Go,go/vt/topo/topotests/keyspace_test.go,keyspace_test.go,76,45,20,11,4,2237,48
Go,go/vt/vtorc/inst/keyspace_dao.go,keyspace_dao.go,89,62,19,8,8,2473,70
Go,go/vt/topo/keyspace.go,keyspace.go,421,286,85,50,75,13504,269
Go,go/mysql/collations/charset/helpers.go,helpers.go,63,44,15,4,12,1599,46
Go,go/vt/vtgate/evalengine/expr_collate.go,expr_collate.go,198,154,18,26,29,5264,119
Go,go/mysql/collations/charset/convert.go,convert.go,228,188,20,20,53,5385,127
Go,go/vt/vtgate/evalengine/compiler_test.go,compiler_test.go,927,857,22,48,69,22965,427
Go,go/vt/vtgate/evalengine/compiler_asm.go,compiler_asm.go,5078,4435,36,607,665,134266,1732
