Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,wagtail/contrib/settings/views.py,views.py,154,119,6,29,15,5004,113
Python,wagtail/test/testapp/views.py,views.py,325,297,1,27,2,9856,216
Python,wagtail/contrib/forms/tests/utils.py,utils.py,224,203,1,20,0,6043,79
Python,wagtail/search/utils.py,utils.py,206,181,14,11,3,6075,132
Python,wagtail/users/views/bulk_actions/user_bulk_action.py,user_bulk_action.py,25,18,0,7,2,972,19
Python,wagtail/tests/test_utils.py,test_utils.py,618,595,3,20,5,20384,361
Python,wagtail/search/tests/test_queries.py,test_queries.py,332,323,0,9,0,12290,179
Python,wagtail/images/tests/test_models.py,test_models.py,1388,1307,15,66,5,51637,746
Python,wagtail/documents/tests/test_models.py,test_models.py,310,281,5,24,0,12585,207
Python,wagtail/contrib/forms/tests/test_models.py,test_models.py,901,894,2,5,12,32235,294
Python,wagtail/admin/tests/viewsets/test_model_viewset.py,test_model_viewset.py,1835,1576,63,196,49,72600,788
Python,wagtail/admin/tests/pages/test_edit_page.py,test_edit_page.py,3925,3458,198,269,22,151435,1246
Python,wagtail/users/tests/test_bulk_actions/test_bulk_delete.py,test_bulk_delete.py,144,107,8,29,9,5304,90
Python,wagtail/images/tests/test_admin_views.py,test_admin_views.py,3758,3312,156,290,38,138669,1201
Python,wagtail/contrib/settings/tests/generic/test_admin.py,test_admin.py,421,353,18,50,3,17183,189
Python,wagtail/contrib/settings/tests/site_specific/test_admin.py,test_admin.py,519,422,36,61,3,21484,236
Python,wagtail/snippets/views/snippets.py,snippets.py,1240,982,94,164,35,45573,747
Markdown,docs/reference/settings.md,settings.md,943,609,0,334,0,36625,416
Python,wagtail/test/testapp/models.py,models.py,2416,2218,55,143,27,65861,1116
Python,wagtail/images/models.py,models.py,1357,1246,75,36,29,49075,935
Python,wagtail/documents/models.py,models.py,222,205,5,12,0,6791,166
Python,wagtail/admin/views/generic/models.py,models.py,1402,1349,24,29,34,49065,771
Python,wagtail/contrib/forms/forms.py,forms.py,207,203,0,4,2,7583,147
Python,wagtail/forms.py,forms.py,30,23,0,7,1,992,23
Python,wagtail/utils/file.py,file.py,35,23,5,7,8,945,28
Python,wagtail/images/fields.py,fields.py,211,142,34,35,29,8009,160
Python,wagtail/admin/views/pages/edit.py,edit.py,970,777,62,131,158,37326,606
Plain Text,CHANGELOG.txt,CHANGELOG.txt,4269,3709,0,560,0,345720,3298
Markdown,docs/releases/4.2.2.md,4.2.2.md,48,30,0,18,0,2790,30
Markdown,docs/releases/4.1.4.md,4.1.4.md,43,27,0,16,0,2618,27
ReStructuredText,docs/releases/2.9.rst,2.9.rst,134,94,0,40,0,7388,93
