Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,scripts/update-version.py,update-version.py,51,35,6,10,5,1734,37
Rust,lib/wasix/src/syscalls/wasi/path_open.rs,path_open.rs,383,293,55,35,35,13745,286
TOML,lib/cache/Cargo.toml,Cargo.toml,35,31,0,4,1,983,32
TOML,lib/wasix/Cargo.toml,Cargo.toml,202,181,3,18,1,6378,176
TOML,lib/virtual-fs/Cargo.toml,Cargo.toml,57,50,1,6,0,1891,52
TOML,lib/compiler-cranelift/Cargo.toml,Cargo.toml,45,40,0,5,1,1737,41
TOML,lib/c-api/examples/wasmer-capi-examples-runner/Cargo.toml,Cargo.toml,12,11,0,1,0,224,12
TOML,lib/sys-utils/Cargo.toml,Cargo.toml,31,27,0,4,1,1061,27
TOML,lib/compiler-singlepass/Cargo.toml,Cargo.toml,48,42,0,6,1,1468,43
TOML,lib/cli/Cargo.toml,Cargo.toml,236,201,10,25,0,7937,190
TOML,lib/middlewares/Cargo.toml,Cargo.toml,27,23,0,4,0,796,24
TOML,lib/compiler/Cargo.toml,Cargo.toml,72,60,3,9,1,2192,64
TOML,lib/wasi-experimental-io-devices/Cargo.toml,Cargo.toml,46,38,4,4,1,1270,41
TOML,lib/c-api/tests/wasmer-c-api-test-runner/Cargo.toml,Cargo.toml,12,11,0,1,0,218,12
TOML,lib/wasi-types/Cargo.toml,Cargo.toml,43,37,1,5,1,1356,39
TOML,lib/vm/Cargo.toml,Cargo.toml,54,46,1,7,1,1469,48
TOML,lib/registry/Cargo.toml,Cargo.toml,61,57,0,4,0,2018,58
TOML,lib/cli-compiler/Cargo.toml,Cargo.toml,83,69,7,7,0,2597,74
TOML,lib/compiler-llvm/Cargo.toml,Cargo.toml,47,42,0,5,1,1282,43
TOML,lib/c-api/Cargo.toml,Cargo.toml,109,92,9,8,0,3651,89
TOML,lib/api/macro-wasmer-universal-test/Cargo.toml,Cargo.toml,15,13,0,2,1,307,14
TOML,lib/emscripten/Cargo.toml,Cargo.toml,29,26,0,3,1,832,27
TOML,lib/wai-bindgen-wasmer/Cargo.toml,Cargo.toml,46,33,7,6,1,1469,41
TOML,tests/integration/ios/Cargo.toml,Cargo.toml,12,11,0,1,0,303,12
TOML,tests/integration/cli/Cargo.toml,Cargo.toml,41,38,0,3,0,1048,39
TOML,lib/api/Cargo.toml,Cargo.toml,153,104,31,18,0,4906,129
TOML,tests/lib/wast/Cargo.toml,Cargo.toml,30,27,0,3,1,879,28
TOML,lib/object/Cargo.toml,Cargo.toml,21,19,0,2,0,574,20
TOML,Cargo.toml,Cargo.toml,316,263,13,40,0,8664,219
TOML,tests/wasi-wast/Cargo.toml,Cargo.toml,16,15,0,1,1,362,16
Markdown,CHANGELOG.md,CHANGELOG.md,1789,1357,0,432,0,135930,1209
