Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,wolfssl/wolfcrypt/tfm.h,tfm.h,761,462,163,136,34,21707,508
C,wolfcrypt/src/tfm.c,tfm.c,3418,2372,499,547,611,73008,1792
C Header,wolfssl/wolfcrypt/signature.h,signature.h,76,41,23,12,0,2375,50
C,wolfcrypt/src/signature.c,signature.c,449,342,55,52,103,13327,209
C,wolfcrypt/src/rsa.c,rsa.c,2967,2062,445,460,723,87712,1457
C Header,wolfssl/wolfcrypt/ecc.h,ecc.h,664,482,87,95,6,20339,428
C,wolfcrypt/src/ecc.c,ecc.c,8845,6705,1000,1140,2497,324379,4567
C,wolfcrypt/src/dsa.c,dsa.c,790,507,138,145,271,20623,417
C Header,wolfssl/wolfcrypt/asn.h,asn.h,1110,908,50,152,25,36235,809
C,wolfcrypt/src/asn.c,asn.c,13640,10406,1034,2200,2830,397501,6466
