Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
XML,application-changerequest-default/src/checkstyle/checkstyle-suppressions.xml,checkstyle-suppressions.xml,56,24,25,7,0,3265,48
XML,application-changerequest-ui/src/main/resources/ChangeRequest/Code/SaveButtonsUIX.xml,SaveButtonsUIX.xml,423,394,19,10,0,15866,286
XML,application-changerequest-ui/src/main/resources/ChangeRequest/Code/EditPageUIX.xml,EditPageUIX.xml,490,462,19,9,0,17317,231
Java,application-changerequest-default/src/test/java/org/xwiki/contrib/changerequest/internal/DefaultChangeRequestRightsManagerTest.java,DefaultChangeRequestRightsManagerTest.java,870,628,60,182,0,47456,473
Java,application-changerequest-default/src/main/java/org/xwiki/contrib/changerequest/internal/DefaultChangeRequestRightsManager.java,DefaultChangeRequestRightsManager.java,621,434,117,70,66,27798,387
Java,application-changerequest-default/src/test/java/org/xwiki/contrib/changerequest/internal/handlers/CreateChangeRequestHandlerTest.java,CreateChangeRequestHandlerTest.java,194,141,26,27,0,8431,156
XML,application-changerequest-ui/src/main/resources/ChangeRequest/Code/ChangeRequestSheet.xml,ChangeRequestSheet.xml,5550,5404,19,127,0,204903,1676
Java,application-changerequest-api/src/main/java/org/xwiki/contrib/changerequest/ChangeRequestRightsManager.java,ChangeRequestRightsManager.java,204,39,150,15,0,10846,138
Java,application-changerequest-default/src/main/java/org/xwiki/contrib/changerequest/script/ChangeRequestAuthorizationScriptService.java,ChangeRequestAuthorizationScriptService.java,245,97,130,18,3,11542,142
Java,application-changerequest-default/src/test/java/org/xwiki/contrib/changerequest/internal/handlers/AddChangesChangeRequestHandlerTest.java,AddChangesChangeRequestHandlerTest.java,279,222,25,32,0,14095,175
Java,application-changerequest-default/src/main/java/org/xwiki/contrib/changerequest/internal/handlers/AbstractChangeRequestActionHandler.java,AbstractChangeRequestActionHandler.java,332,247,40,45,22,13720,224
