Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,framework/views/errorHandler/exception.php,exception.php,545,499,17,29,26,49232,357
JSON,framework/composer.json,composer.json,90,90,0,0,0,2847,67
JSON,composer.json,composer.json,126,126,0,0,0,3927,91
PHP,framework/web/User.php,User.php,816,377,380,59,81,34043,493
PHP,tests/framework/helpers/UrlTest.php,UrlTest.php,319,234,37,48,1,15187,225
PHP,tests/framework/web/UploadedFileTest.php,UploadedFileTest.php,120,95,9,16,0,4016,70
PHP,tests/framework/base/SecurityTest.php,SecurityTest.php,1128,995,78,55,4,58632,686
PHP,framework/base/Security.php,Security.php,695,304,320,71,66,28712,408
PHP,tests/framework/validators/FileValidatorTest.php,FileValidatorTest.php,675,558,52,65,13,24975,330
PHP,framework/caching/FileCache.php,FileCache.php,287,132,128,27,26,11237,174
PHP,framework/web/ErrorHandler.php,ErrorHandler.php,506,309,153,44,55,19217,327
PHP,framework/base/ErrorHandler.php,ErrorHandler.php,428,232,154,42,39,14478,257
PHP,tests/framework/log/DispatcherTest.php,DispatcherTest.php,321,220,54,47,10,10849,177
PHP,framework/log/Dispatcher.php,Dispatcher.php,229,90,118,21,7,7531,148
PHP,framework/caching/DbCache.php,DbCache.php,332,155,143,34,12,11738,189
PHP,framework/captcha/CaptchaAction.php,CaptchaAction.php,369,199,132,38,24,12673,229
Markdown,framework/CHANGELOG.md,CHANGELOG.md,3011,2692,0,319,0,273873,2589
PHP,framework/db/BatchQueryResult.php,BatchQueryResult.php,262,115,122,25,18,7377,152
PHP,framework/mail/BaseMailer.php,BaseMailer.php,400,169,190,41,24,14460,235
