Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,yt_dlp/extractor/vimeo.py,vimeo.py,1599,1519,17,63,101,70748,1119
Python,test/test_utils.py,test_utils.py,2186,2094,12,80,34,102475,1677
Python,test/test_networking.py,test_networking.py,2093,2063,10,20,9,90666,1344
Python,test/test_downloader_external.py,test_downloader_external.py,139,102,9,28,7,4887,85
Python,test/test_YoutubeDL.py,test_YoutubeDL.py,1440,1250,49,141,41,61663,937
Python,yt_dlp/extractor/storyfire.py,storyfire.py,133,115,0,18,4,4707,105
Python,yt_dlp/extractor/slideslive.py,slideslive.py,554,511,19,24,29,21902,370
Python,yt_dlp/options.py,options.py,1965,1931,6,28,146,98266,1432
Python,yt_dlp/utils/networking.py,networking.py,280,241,7,32,17,8901,209
Python,yt_dlp/extractor/generic.py,generic.py,2885,2636,217,32,78,122087,1773
Python,yt_dlp/downloader/external.py,external.py,663,574,24,65,99,27884,503
Python,yt_dlp/postprocessor/exec.py,exec.py,40,30,2,8,5,1530,33
Python,yt_dlp/extractor/embedly.py,embedly.py,109,106,0,3,0,5286,81
Python,yt_dlp/extractor/duboku.py,duboku.py,246,241,1,4,2,8471,189
Python,yt_dlp/extractor/cybrary.py,cybrary.py,144,125,0,19,7,6288,111
Python,yt_dlp/cookies.py,cookies.py,1387,1328,21,38,69,56810,1003
Python,yt_dlp/downloader/common.py,common.py,497,463,31,3,3,19666,404
JSON,devscripts/changelog_override.json,changelog_override.json,249,249,0,0,0,13174,110
Python,yt_dlp/utils/_utils.py,_utils.py,5705,5436,91,178,191,190094,4272
Python,yt_dlp/__init__.py,__init__.py,1123,1051,33,39,91,48853,938
Python,yt_dlp/compat/__init__.py,__init__.py,56,35,7,14,11,1890,43
Python,yt_dlp/YoutubeDL.py,YoutubeDL.py,4436,4339,40,57,241,213361,3566
Markdown,README.md,README.md,2378,1940,0,438,0,167261,1835
