Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,src/services/search/services/search.js,search.js,447,329,37,81,41,14470,273
JavaScript,src/share/routes.js,routes.js,371,258,22,91,42,11790,197
JavaScript,src/routes/routes.js,routes.js,515,419,17,79,35,28291,393
JavaScript,src/routes/api/revisions.js,revisions.js,198,151,6,41,15,5801,135
JavaScript,src/routes/api/image.js,image.js,107,80,5,22,13,3174,71
JavaScript,src/routes/api/files.js,files.js,234,167,9,58,10,6634,136
JavaScript,src/routes/api/export.js,export.js,55,46,0,9,9,1826,39
JavaScript,src/public/app/widgets/dialogs/export.js,export.js,253,209,3,41,18,10318,162
JavaScript,src/routes/custom.js,custom.js,88,67,2,19,9,2675,60
JavaScript,src/services/auth.js,auth.js,137,117,3,17,31,3591,70
JavaScript,src/routes/api/attachments.js,attachments.js,109,83,1,25,5,3101,67
