Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,internal/api/grpc/gerrors/zitadel_errors.go,zitadel_errors.go,73,66,0,7,10,2503,58
JSON,console/src/assets/i18n/zh.json,zh.json,2606,2606,0,0,0,104413,2002
Go,internal/user/repository/view/user_view.go,user_view.go,98,89,0,9,2,3259,66
SQL,internal/user/repository/view/user_sessions_by_user_agent.sql,user_sessions_by_user_agent.sql,27,27,0,0,0,962,27
Go,internal/query/user_password.go,user_password.go,155,140,0,15,20,4997,116
Go,internal/command/user_human_refresh_token_test.go,user_human_refresh_token_test.go,1063,958,95,10,38,28818,351
Go,internal/command/user_human_refresh_token_model.go,user_human_refresh_token_model.go,112,102,0,10,16,3036,80
Go,internal/command/user_human_password_test.go,user_human_password_test.go,2280,2270,0,10,45,54994,322
Go,internal/command/user_human_password_model.go,user_human_password_model.go,120,110,0,10,10,3702,95
Go,internal/command/user_human_password.go,user_human_password.go,392,329,24,39,116,15085,208
Go,internal/auth/repository/eventsourcing/view/user.go,user.go,198,162,4,32,60,6108,86
Go,internal/command/user.go,user.go,492,439,1,52,152,16990,237
Sass,console/src/app/modules/top-view/top-view.component.scss,top-view.component.scss,131,108,0,23,0,2806,87
HTML,console/src/app/modules/top-view/top-view.component.html,top-view.component.html,62,58,0,4,0,2109,52
Go,internal/notification/templates/templateData.go,templateData.go,52,42,4,6,2,2127,45
Go,cmd/start/start.go,start.go,568,513,6,49,99,21364,373
Go,internal/api/grpc/server/server.go,server.go,72,63,3,6,2,2550,64
JSON,console/src/assets/i18n/ru.json,ru.json,2715,2715,0,0,0,183152,2094
Go,internal/auth/repository/eventsourcing/repository.go,repository.go,131,120,1,10,10,4081,101
JSON,console/src/assets/i18n/pt.json,pt.json,2602,2602,0,0,0,120612,2003
JSON,console/src/assets/i18n/pl.json,pl.json,2607,2607,0,0,0,120079,2035
Go,internal/notification/types/notification.go,notification.go,105,98,0,7,2,2571,65
JSON,console/src/assets/i18n/nl.json,nl.json,2625,2625,0,0,0,119017,2028
JSON,console/src/assets/i18n/mk.json,mk.json,2604,2604,0,0,0,171594,2018
JSON,console/src/assets/i18n/ja.json,ja.json,2598,2598,0,0,0,136874,1999
JSON,console/src/assets/i18n/it.json,it.json,2607,2607,0,0,0,119095,2012
Go,internal/api/grpc/server/middleware/instance_interceptor_test.go,instance_interceptor_test.go,219,196,0,23,13,4517,110
Go,internal/api/grpc/server/middleware/instance_interceptor.go,instance_interceptor.go,107,96,3,8,25,4076,83
Go,internal/api/http/middleware/instance_interceptor.go,instance_interceptor.go,130,114,0,16,21,3840,89
Go,internal/repository/user/human.go,human.go,421,356,4,61,8,12213,197
HTML,console/src/app/pages/projects/granted-projects/granted-project-detail/granted-project-detail.component.html,granted-project-detail.component.html,65,63,0,2,0,2670,64
JSON,console/src/assets/i18n/fr.json,fr.json,2607,2607,0,0,0,125375,2012
JSON,console/src/assets/i18n/es.json,es.json,2604,2604,0,0,0,122697,2011
JSON,console/src/assets/i18n/en.json,en.json,2625,2625,0,0,0,110959,2016
Go,internal/api/ui/login/device_auth.go,device_auth.go,194,155,21,18,21,7012,128
JSON,console/src/assets/i18n/de.json,de.json,2606,2606,0,0,0,121305,2001
JSON,console/src/assets/i18n/cs.json,cs.json,2616,2616,0,0,0,119736,2019
Go,internal/domain/browser_info.go,browser_info.go,22,18,0,4,0,473,18
JSON,console/src/assets/i18n/bg.json,bg.json,2597,2597,0,0,0,167740,1993
Go,internal/auth/repository/eventsourcing/eventstore/auth_request_test.go,auth_request_test.go,2306,2233,11,62,44,71374,633
Go,internal/auth/repository/eventsourcing/eventstore/auth_request.go,auth_request.go,1674,1485,58,131,553,64678,833
Go,internal/api/oidc/auth_request.go,auth_request.go,611,538,13,60,158,21423,279
Go,internal/api/assets/asset.go,asset.go,250,223,0,27,35,8196,163
Go,internal/api/api.go,api.go,285,243,14,28,23,8631,210
