Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C++,src/znc.cpp,znc.cpp,1919,1491,87,341,356,51373,1078
C++,modules/webadmin.cpp,webadmin.cpp,1790,1413,79,298,488,58497,969
C++,modules/controlpanel.cpp,controlpanel.cpp,1454,1247,25,182,453,45740,736
C++,modules/bouncedcc.cpp,bouncedcc.cpp,462,357,28,77,71,16102,271
C++,src/WebModules.cpp,WebModules.cpp,900,647,76,177,221,26359,543
C++,src/User.cpp,User.cpp,1201,932,97,172,274,36764,750
C Header,include/znc/Modules.h,Modules.h,1250,522,621,107,5,52272,893
C++,src/Modules.cpp,Modules.cpp,1376,1099,55,222,202,48137,765
C++,src/IRCSock.cpp,IRCSock.cpp,1366,1029,126,211,332,38839,792
C++,src/IRCNetwork.cpp,IRCNetwork.cpp,1353,1019,61,273,271,32578,731
C++,src/Config.cpp,Config.cpp,201,137,23,41,42,5420,135
C++,src/Client.cpp,Client.cpp,955,752,46,157,267,27148,537
