Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,src/Products/PageTemplates/tests/testZRPythonExpr.py,testZRPythonExpr.py,55,41,2,12,0,1883,35
Python,src/Products/PageTemplates/tests/testHTMLTests.py,testHTMLTests.py,170,111,19,40,1,5889,117
Python,src/OFS/tests/testFileAndImage.py,testFileAndImage.py,336,303,4,29,1,11158,236
Python,src/Products/PageTemplates/tests/testExpressions.py,testExpressions.py,303,266,8,29,2,11457,186
Python,setup.py,setup.py,121,102,13,6,1,3734,110
Plain Text,requirements-full.txt,requirements-full.txt,86,86,0,0,0,1806,87
Python,src/Products/PageTemplates/expression.py,expression.py,182,125,4,53,13,4806,117
Python,src/Products/PageTemplates/ZRPythonExpr.py,ZRPythonExpr.py,92,56,19,17,9,2940,72
Python,src/OFS/Image.py,Image.py,946,817,73,56,42,34267,646
Python,src/Products/PageTemplates/Expressions.py,Expressions.py,434,252,105,77,51,14574,305
ReStructuredText,CHANGES.rst,CHANGES.rst,392,263,0,129,0,12348,244
