Balloon/BalloonWDF/sys/clean.bat,Balloon/app/cleanAll.bat
Balloon/BalloonWDF/sys/COPYING,Balloon/sys/COPYING
Balloon/BalloonWDF/sys/Device.c,Balloon/sys/Device.c
Balloon/BalloonWDF/sys/Driver.c,Balloon/sys/Driver.c
Balloon/BalloonWDF/sys/LICENSE,Balloon/sys/LICENSE
Balloon/BalloonWDF/sys/ProtoTypes.h,Balloon/sys/ProtoTypes.h
Balloon/BalloonWDF/sys/ballog.mc,Balloon/sys/ballog.mc
Balloon/BalloonWDF/sys/balloon.c,Balloon/sys/balloon.c
Balloon/BalloonWDF/sys/balloon.inx,Balloon/sys/balloon.inx
Balloon/BalloonWDF/sys/balloon.rc,Balloon/sys/balloon.rc
Balloon/BalloonWDF/sys/makefile,Balloon/sys/makefile
Balloon/BalloonWDF/sys/makefile.inc,Balloon/sys/makefile.inc
Balloon/BalloonWDF/sys/precomp.h,Balloon/sys/precomp.h
Balloon/BalloonWDF/sys/sources,Balloon/sys/sources
Balloon/BalloonWDF/sys/trace.h,Balloon/sys/trace.h
Balloon/BalloonWDF/sys/utils.c,Balloon/sys/utils.c
viostor/wlh.inf,viostor/WinLH.inx,viostor/viostor.inx
viostor/wnet.inf,viostor/WinNET.inx,viostor/viostor_no_msi.inx
viostor/wxp.inf,viostor/WinXP.inx
Tools/callVisuaStudio.vbs,Tools/getVisualStudioCmdLine.vbs
NetKVM/wxp/ParaNdis5-Driver.c,NetKVM/NDIS5/wxp/ParaNdis5-Driver.c
NetKVM/wxp/ParaNdis5-Impl.c,NetKVM/NDIS5/wxp/ParaNdis5-Impl.c
NetKVM/wxp/ParaNdis5-Oid.c,NetKVM/NDIS5/wxp/ParaNdis5-Oid.c
NetKVM/wxp/ParaNdis5.h,NetKVM/NDIS5/wxp/ParaNdis5.h
NetKVM/wxp/netkvm.inf,NetKVM/NDIS5/wxp/netkvm.inf,NetKVM/NDIS5/wxp/netkvm.inx
NetKVM/wxp/parandis.rc,NetKVM/NDIS5/wxp/parandis.rc
NetKVM/wxp/sources,NetKVM/NDIS5/wxp/sources
NetKVM/Common/ParaNdis-Common.c,NetKVM/Common/ParaNdis-Common.cpp,NetKVM/Common/ParaNdis_Common.cpp
NetKVM/Common/ParaNdis-Debug.c,NetKVM/Common/ParaNdis-Debug.cpp,NetKVM/Common/ParaNdis_Debug.cpp
NetKVM/Common/ParaNdis-Oid.c,NetKVM/Common/ParaNdis-Oid.cpp,NetKVM/Common/ParaNdis_Oid.cpp
NetKVM/Common/sw-offload.c,NetKVM/Common/sw-offload.cpp,NetKVM/Common/sw_offload.cpp
NetKVM/wlh/ParaNdis6-Driver.c,NetKVM/wlh/ParaNdis6-Driver.cpp,NetKVM/wlh/ParaNdis6_Driver.cpp
NetKVM/wlh/ParaNdis6-Oid.c,NetKVM/wlh/ParaNdis6-Oid.cpp,NetKVM/wlh/ParaNdis6_Oid.cpp
NetKVM/wlh/ParaNdis6-RSS.c,NetKVM/wlh/ParaNdis6-RSS.cpp,NetKVM/wlh/ParaNdis6_RSS.cpp
NetKVM/NetKVM-Win10.vcxproj,NetKVM/NetKVM-VS2015.vcxproj
NetKVM/NetKVM-Win10.vcxproj.filters,NetKVM/NetKVM-VS2015.vcxproj.filters
VirtIO/VirtIOPCI.c,VirtIO/VirtioPCILegacy.c,VirtIO/VirtIOPCILegacy.c
VirtIO/VirtioLib-win8.vcxproj,VirtIO/VirtioLib.vcxproj
NetKVM/w10/netkvm.inf,NetKVM/netkvm.inf,NetKVM/netkvm.inx
pciserial/buildall.bat,pciserial/buildAll.bat
pvpanic/buildall.bat,pvpanic/buildAll.bat
viorng/buildall.bat,viorng/buildAll.bat
fwcfg/fwcfg.inf,fwcfg/qemufwcfg.inf
NetKVM/tools/NetKVMTemporaryCert.cer,Tools/VirtIOTestCert.cer
NetKVM/tools/NetKVMTemporaryCert.pfx,Tools/VirtIOTestCert.pfx
vioivshmem/Device.c,ivshmem/Device.c
vioivshmem/Device.h,ivshmem/Device.h
vioivshmem/Driver.c,ivshmem/Driver.c
vioivshmem/Driver.h,ivshmem/Driver.h
vioivshmem/Queue.c,ivshmem/Queue.c
vioivshmem/Trace.h,ivshmem/Trace.h
vioivshmem/vioivshmem.inf,ivshmem/ivshmem.inf
vioivshmem/vioivshmem.vcxproj,ivshmem/ivshmem.vcxproj
vioivshmem/vioivshmem.vcxproj.filters,ivshmem/ivshmem.vcxproj.filters
vioivshmem-test/vioivshmem-test.cpp,ivshmem/test/ivshmem-test.cpp
vioivshmem-test/vioivshmem-test.vcxproj,ivshmem/test/ivshmem-test.vcxproj
vioivshmem-test/vioivshmem-test.vcxproj.filters,ivshmem/test/ivshmem-test.vcxproj.filters
vioivshmem-test/stdafx.cpp,ivshmem/test/stdafx.cpp
vioivshmem-test/stdafx.h,ivshmem/test/stdafx.h
vioivshmem-test/targetver.h,ivshmem/test/targetver.h
NetKVM/netkvm_no_RSC.inf,NetKVM/netkvm_no_RSC.inx
NetKVM/netkvm_no_RSS.inf,NetKVM/netkvm_no_RSS.inx,NetKVM/netkvm-base.txt
NetKVM/ParaNdis_LockFreeQueue.h,NetKVM/Common/ParaNdis_LockFreeQueue.h
Tools/getpdbinfo.bat,Tools/Trace/getpdbinfo.bat
viofs/svc/virtfs.vcxproj.filters,viofs/svc/virtfsio.vcxproj.filters
viofs/svc/virtfs.c,viofs/svc/virtiofs.c,viofs/svc/virtiofs.cpp
viofs/svc/virtfs.vcxproj,viofs/svc/virtiofs.vcxproj
NetKVM/Common/ParaNdis-AbstractPath.cpp,NetKVM/Common/ParaNdis_AbstractPath.cpp
NetKVM/Common/ParaNdis-CX.cpp,NetKVM/Common/ParaNdis_CX.cpp
NetKVM/Common/ParaNdis-RX.cpp,NetKVM/Common/ParaNdis_RX.cpp
NetKVM/Common/ParaNdis-TX.cpp,NetKVM/Common/ParaNdis_TX.cpp
NetKVM/Common/ParaNdis-Util.cpp,NetKVM/Common/ParaNdis_Util.cpp
NetKVM/Common/ParaNdis-VirtIO.cpp,NetKVM/Common/ParaNdis_VirtIO.cpp
NetKVM/Common/ParaNdis-VirtQueue.cpp,NetKVM/Common/ParaNdis_VirtQueue.cpp
NetKVM/wlh/ParaNdis6-Impl.cpp,NetKVM/wlh/ParaNdis6_Impl.cpp
viofs/shared/virtfs.h,viofs/shared/virtiofs.h
Balloon/build_NoLegacyNoSdv.bat,Balloon/build_AllNoSdv.bat
fwcfg64/build_NoLegacyNoSdv.bat,fwcfg64/build_AllNoSdv.bat
ivshmem/build_NoLegacyNoSdv.bat,ivshmem/build_AllNoSdv.bat
pvpanic/build_NoLegacyNoSdv.bat,pvpanic/build_AllNoSdv.bat
viorng/build_NoLegacyNoSdv.bat,viorng/build_AllNoSdv.bat
vioserial/build_NoLegacyNoSdv.bat,vioserial/build_AllNoSdv.bat
