vendor/sigs.k8s.io/testing_frameworks/integration/.gitignore,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/.gitignore
vendor/sigs.k8s.io/testing_frameworks/integration/apiserver.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/apiserver.go
vendor/sigs.k8s.io/testing_frameworks/integration/control_plane.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/control_plane.go
vendor/sigs.k8s.io/testing_frameworks/integration/doc.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/doc.go
vendor/sigs.k8s.io/testing_frameworks/integration/etcd.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/etcd.go
vendor/sigs.k8s.io/testing_frameworks/integration/internal/arguments.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/internal/arguments.go
vendor/sigs.k8s.io/testing_frameworks/integration/internal/bin_path_finder.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/internal/bin_path_finder.go
vendor/sigs.k8s.io/testing_frameworks/integration/internal/etcd.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/internal/etcd.go
vendor/sigs.k8s.io/testing_frameworks/integration/internal/process.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/internal/process.go
vendor/sigs.k8s.io/testing_frameworks/integration/kubectl.go,vendor/sigs.k8s.io/controller-runtime/pkg/internal/testing/integration/kubectl.go
vendor/sigs.k8s.io/controller-runtime/pkg/manager/testutil.go,vendor/sigs.k8s.io/controller-runtime/pkg/ratelimiter/doc.go
charts/fluid/v0.2.0/.helmignore,charts/fluid/v0.1.0/.helmignore
charts/fluid/v0.3.0/CHANGELOG.md,charts/fluid/v0.1.0/CHANGELOG.md
charts/fluid/v0.4.0/Chart.yaml,charts/fluid/v0.1.0/Chart.yaml
charts/fluid/v0.2.0/README.md,charts/fluid/v0.1.0/README.md
charts/fluid/v0.3.0/crds/data.pillars.io_alluxiodataloads.yaml,charts/fluid/v0.1.0/crds/data.fluid.io_alluxiodataloads.yaml
charts/fluid/v0.3.0/crds/data.pillars.io_alluxioruntimes.yaml,charts/fluid/v0.1.0/crds/data.fluid.io_alluxioruntimes.yaml
charts/fluid/v0.3.0/crds/data.pillars.io_datasets.yaml,charts/fluid/v0.1.0/crds/data.fluid.io_datasets.yaml
charts/fluid/v0.4.0/templates/_helpers.tpl,charts/fluid/v0.1.0/templates/_helpers.tpl
charts/fluid/v0.4.0/templates/csi/daemonset.yaml,charts/fluid/v0.1.0/templates/csi/daemonset.yaml
csi/deploy/csi-pillars-driver.yaml,charts/fluid/v0.1.0/templates/csi/driver.yaml
charts/fluid/v0.2.0/templates/manager/manager.yaml,charts/fluid/v0.1.0/templates/manager/manager.yaml
charts/fluid/v0.2.0/templates/role/role-binding.yaml,charts/fluid/v0.1.0/templates/role/role-binding.yaml
charts/fluid/v0.2.0/values.yaml,charts/fluid/v0.1.0/values.yaml
csi/deploy/csi-pillars-daemonset.yaml,csi/deploy/csi-fluid-daemonset.yaml
charts/fluid/v0.2.0/templates/csi/driver.yaml,csi/deploy/csi-fluid-driver.yaml
csi/deploy/csi-pillars-provisioner.yaml,csi/deploy/csi-fluid-provisioner.yaml
config/samples/namespace.yaml,charts/fluid/v0.1.0/templates/namespace.yaml
examples/demo1/README_zhCN.md,docs/demo_cn/demo1.md,docs/demo_cn/accelerate/demo.md
examples/demo2/README_zhCN.md,docs/demo_cn/demo2.md,docs/demo_cn/co-locality/demo.md,docs/zh/samples/data_co_locality.md
examples/demo1/demo_dataset.yaml,samples/demo1/demo_dataset.yaml,samples/accelerate/dataset.yaml
examples/demo1/demo_runtime.yaml,samples/demo1/demo_runtime.yaml,samples/accelerate/runtime.yaml
examples/demo2/demo_app.yaml,samples/demo2/demo_app.yaml,samples/co-locality/app.yaml
examples/demo2/demo_dataset.yaml,samples/demo2/demo_dataset.yaml,samples/co-locality/dataset.yaml
examples/demo2/demo_runtime.yaml,samples/demo2/demo_runtime.yaml,samples/co-locality/runtime.yaml
docs/dawnbench_cn/README.md,docs/demo_cn/dawnbench/demo.md,docs/zh/samples/dawnbench.md
samples/demo1/demo_test.yaml,samples/accelerate/app.yaml
dawnbench/imagenet/dataset.yaml,samples/dawnbench/dataset.yaml
dawnbench/imagenet/runtime.yaml,samples/dawnbench/runtime.yaml
scripts/diagnose-fluid.sh,tools/diagnose-fluid.sh,tools/diagnose-fluid-alluxio.sh
pkg/controllers/v1alpha1/alluxio/dataload_controller.go,pkg/controllers/v1alpha1/dataload/implement.go
docs/api/example-config.json,tools/api-doc-gen/example-config.json
docs/api/generate_api_doc.sh,tools/api-doc-gen/generate_api_doc.sh
docs/api/template/members.tpl,tools/api-doc-gen/template/members.tpl
docs/api/template/pkg.tpl,tools/api-doc-gen/template/pkg.tpl
docs/api/template/type.tpl,tools/api-doc-gen/template/type.tpl
docs/dev_cn/README.md,docs/zh/dev/how_to_develop.md
docs/diagnose_cn/diagnose.md,docs/zh/userguide/diagnose.md,docs/zh/userguide/troubleshooting.md
docs/en/userguide/diagnose.md,docs/en/userguide/troubleshooting.md
config/samples/statefulset.yaml,config/samples/workload.yaml
pkg/controllers/v1alpha1/alluxio/runtime_controller.go,pkg/controllers/v1alpha1/alluxio/alluxio_runtime_controller.go
pkg/utils/kubeclient/namespace_test.go,pkg/controllers/namespace_test.go
entrypoint.sh,charts/alluxio/docker/init-users/entrypoint.sh
pkg/ddc/alluxio/trasform_optimization.go,pkg/ddc/alluxio/transform_optimization.go
Dockerfile,Dockerfile.dataset,docker/Dockerfile.dataset
charts/fluid/fluid/templates/manager/manager.yaml,charts/fluid/fluid/templates/manager/alluxioruntime_controller.yaml,charts/fluid/fluid/templates/controller/alluxioruntime_controller.yaml
cmd/controller/main.go,cmd/alluxioruntime_controller/main.go,cmd/alluxio/main.go
charts/fluid/fluid/templates/manager/dataset_controller.yaml,charts/fluid/fluid/templates/controller/dataset_controller.yaml
charts/fluid/fluid/templates/role/ClusterRole,charts/fluid/fluid/templates/role/alluxio/rbac.yaml
cmd/dataset_controller/main.go,cmd/dataset/main.go
config/crd/patches/cainjection_in_alluxiodataloads.yaml,config/crd/patches/cainjection_in_dataloads.yaml
config/crd/patches/webhook_in_alluxiodataloads.yaml,config/crd/patches/webhook_in_dataloads.yaml
pkg/common/dataload.go,pkg/dataload/constants.go
config/fluid/bases/csi-plugin.yaml,config/fluid/bases/csi/daemonset.yaml
config/fluid/bases/driver.yaml,config/fluid/bases/csi/driver.yaml
config/fluid/patches/image_in_csi-plugin.yaml,config/fluid/patches/csi/injections_in_csi_plugin.yaml
pkg/ddc/alluxio/alluxio_unit_transform.go,pkg/utils/quantity.go
docs/zh/userguide/monitoring.md,docs/zh/operation/monitoring.md
monitoring/fluid-prometheus-grafana-monitor.json,tools/monitoring/fluid-prometheus-grafana-monitor.json
monitoring/grafana.yaml,tools/monitoring/grafana.yaml,integration/prometheus/grafana.yaml
monitoring/prometheus.yaml,tools/monitoring/prometheus.yaml,integration/prometheus/prometheus.yaml
pkg/ddc/alluxio/depericated_label.go,pkg/ddc/alluxio/deprecated_label.go
pkg/ddc/jindo/depericated_label.go,pkg/ddc/jindo/deprecated_label.go
integration/cronhpa/autoscaling.alibabacloud.com_cronhorizontalpodautoscalers.yaml,integration/cronhpa/cronhpa.yaml
charts/fluid-dataloader/CHANGELOG.md,charts/fluid-dataloader/alluxio/CHANGELOG.md
charts/fluid-dataloader/Chart.yaml,charts/fluid-dataloader/alluxio/Chart.yaml
charts/fluid-dataloader/templates/configmap.yaml,charts/fluid-dataloader/alluxio/templates/configmap.yaml
charts/fluid-dataloader/templates/dataloader.yaml,charts/fluid-dataloader/alluxio/templates/dataloader.yaml,charts/fluid-dataloader/alluxio/templates/job.yaml
charts/fluid-dataloader/values.yaml,charts/fluid-dataloader/alluxio/values.yaml
pkg/webhook/mutatingwebhook.go,pkg/webhook/mutating_webhook.go,pkg/webhook/scheduler/mutating/schedule-pod-handler.go,pkg/webhook/scheduler/mutating/schedule_pod_handler.go,pkg/webhook/handler/mutating/mutating_handler.go
charts/fluid/fluid/templates/webhook/MutatingWebhookConfiguration.yaml,charts/fluid/fluid/templates/webhook/webhookconfiguration.yaml
pkg/ddc/alluxio/ufs_path_builder.go,pkg/utils/ufs_path_builder.go
pkg/ddc/alluxio/ufs_path_builder_test.go,pkg/utils/ufs_path_builder_test.go
Dockerfile.alluxioruntime,docker/Dockerfile.alluxioruntime
Dockerfile.csi,docker/Dockerfile.csi
Dockerfile.jindoruntime,docker/Dockerfile.jindoruntime
Dockerfile.webhook,docker/Dockerfile.webhook
docs/zh/operation/pod_schedule_glolbal.md,docs/zh/operation/pod_schedule_global.md,docs/zh/operation/pod_schedule_optimization.md
charts/fluid-databackup/.helmignore,charts/fluid-databackup/alluxio/.helmignore
charts/fluid-databackup/CHANGELOG.md,charts/fluid-databackup/alluxio/CHANGELOG.md
charts/fluid-databackup/Chart.yaml,charts/fluid-databackup/alluxio/Chart.yaml
charts/fluid-databackup/README.md,charts/fluid-databackup/alluxio/README.md
charts/fluid-databackup/templates/configmap.yaml,charts/fluid-databackup/alluxio/templates/configmap.yaml
charts/fluid-databackup/templates/databackup.yaml,charts/fluid-databackup/alluxio/templates/databackup.yaml
charts/fluid-databackup/values.yaml,charts/fluid-databackup/alluxio/values.yaml
vendor/golang.org/x/net/idna/tables12.00.go,vendor/golang.org/x/net/idna/tables12.0.0.go
vendor/golang.org/x/sys/unix/zsyscall_darwin_386.1_11.go,vendor/golang.org/x/sys/unix/zsyscall_linux.go
vendor/golang.org/x/sys/unix/zsyscall_darwin_arm64.1_11.go,vendor/golang.org/x/sys/unix/zsyscall_openbsd_mips64.go
pkg/ddc/alluxio/engine._test.go,pkg/ddc/alluxio/engine_test.go
charts/jindofs/templates/worker/daemonset.yaml,charts/jindofs/templates/worker/statefulset.yaml
charts/alluxio/templates/worker/daemonset.yaml,charts/alluxio/templates/worker/statefulset.yaml
charts/juicefs/templates/worker/daemonset.yaml,charts/juicefs/templates/worker/statefuleset.yaml,charts/juicefs/templates/worker/statefulset.yaml
vendor/gopkg.in/fsnotify.v1/.gitignore,vendor/github.com/fsnotify/fsnotify/.gitignore
vendor/gopkg.in/fsnotify.v1/AUTHORS,vendor/github.com/fsnotify/fsnotify/AUTHORS
vendor/gopkg.in/fsnotify.v1/CHANGELOG.md,vendor/github.com/fsnotify/fsnotify/CHANGELOG.md
vendor/gopkg.in/fsnotify.v1/CONTRIBUTING.md,vendor/github.com/fsnotify/fsnotify/CONTRIBUTING.md
vendor/gopkg.in/fsnotify.v1/LICENSE,vendor/github.com/fsnotify/fsnotify/LICENSE
vendor/gopkg.in/fsnotify.v1/README.md,vendor/github.com/fsnotify/fsnotify/README.md
vendor/gopkg.in/fsnotify.v1/fen.go,vendor/github.com/fsnotify/fsnotify/fen.go
vendor/gopkg.in/fsnotify.v1/fsnotify.go,vendor/github.com/fsnotify/fsnotify/fsnotify.go
vendor/gopkg.in/fsnotify.v1/inotify.go,vendor/github.com/fsnotify/fsnotify/inotify.go
vendor/gopkg.in/fsnotify.v1/inotify_poller.go,vendor/github.com/fsnotify/fsnotify/inotify_poller.go
vendor/gopkg.in/fsnotify.v1/kqueue.go,vendor/github.com/fsnotify/fsnotify/kqueue.go
vendor/gopkg.in/fsnotify.v1/open_mode_bsd.go,vendor/github.com/fsnotify/fsnotify/open_mode_bsd.go,vendor/github.com/fsnotify/fsnotify/system_bsd.go
vendor/gopkg.in/fsnotify.v1/open_mode_darwin.go,vendor/github.com/fsnotify/fsnotify/open_mode_darwin.go,vendor/github.com/fsnotify/fsnotify/system_darwin.go
vendor/gopkg.in/fsnotify.v1/windows.go,vendor/github.com/fsnotify/fsnotify/windows.go
vendor/github.com/googleapis/gnostic/OpenAPIv2/OpenAPIv2.go,vendor/github.com/googleapis/gnostic/openapiv2/OpenAPIv2.go,vendor/github.com/google/gnostic/openapiv2/OpenAPIv2.go,vendor/github.com/google/gnostic-models/openapiv2/OpenAPIv2.go
